policy,rewards,run,
"{'1': [0.0, 0.8], '5': [0.0, 1.0], '2': [0.03716588020324707, 0.17151667177677155], '4': [0.0, 0.0], '3': [0.0, 1.0]}",314.9527833,0,283.0476817
"{'1': [0.0, 0.8], '5': [0.0, 1.0], '2': [0.0, 0.45109444856643677], '4': [0.0, 0.8589873313903809], '3': [1.0, 0.014856666326522827]}",373.4637364,1,
"{'1': [0.0, 0.8], '5': [1.0, 0.0], '2': [1.0, 0.0], '4': [0.0, 0.0], '3': [1.0, 0.0]}",301.6117752,2,
"{'1': [0.4, 0.0], '5': [1.0, 0.0], '2': [0.056762486696243286, 0.0], '4': [0.15868037939071655, 0.0], '3': [1.0, 0.0]}",153.7190597,3,
"{'1': [0.0, 0.8], '5': [0.9182733297348022, 0.0], '2': [0.3315783739089966, 0.00991097092628479], '4': [0.1027907133102417, 0.0], '3': [0.38703453540802, 1.0]}",260.4752147,4,
"{'1': [0.0, 0.8], '5': [1.0, 0.014816641807556152], '2': [1.0, 0.0], '4': [0.0, 0.0], '3': [0.0, 0.5698823928833008]}",342.6272615,5,
"{'1': [0.0, 0.8], '5': [1.0, 0.0], '2': [0.6605774164199829, 0.7878478765487671], '4': [0.0, 0.0], '3': [0.0, 0.0]}",290.2281665,6,
"{'1': [0.6, 0.6], '5': [0.0, 0.6184030771255493], '2': [0.0, 0.0], '4': [0.0, 1.0], '3': [0.0, 0.0]}",93.38330555,7,
"{'1': [0.0, 0.8], '5': [0.8144217133522034, 0.0], '2': [1.0, 0.012335915118455887], '4': [0.0, 0.0], '3': [0.25827163457870483, 0.0]}",275.8671969,8,
"{'1': [0.0, 0.8], '5': [1.0, 0.1956050992012024], '2': [0.41618552803993225, 0.0], '4': [1.0, 0.0], '3': [0.0, 0.07363426685333252]}",258.336808,9,
